Entrez_ID	Gene	ESC_RPKM	EB_RPKM
12257	Tspo	19.020857	59.595714
12258	Serping1	3.265714	1.516857
12259	C1qa	0	0.048286
12260	C1qb	0.058571	0.060571
12261	C1qbp	247.850857	561.854000
12262	C1qc	0.017714	0.041714
12263	C2	1.436286	0.100571
12265	C2ta	0.007429	0.004857
12266	C3	0.137714	0.012286
12267	C3ar1	0	0
12268	C4b	0.015714	0.003143
12269	C4bp	0.006000	0.003714
12273	C5ar1	0.102571	0.008857
12274	C6	0.072286	0.063714
12279	C9	0	0
12282	Hyou1	66.496286	102.570857
12283	Cab39	1.113429	2.427143
12286	Cacna1a	7.481143	3.672286
12287	Cacna1b	0.302857	0.179429
12288	Cacna1c	0.092286	0.212571
12289	Cacna1d	0.006286	0.180571
12290	Cacna1e	0.036286	0.040571
12291	Cacna1g	0.341429	0.473714
12292	Cacna1s	0.096000	0.006286
12293	Cacna2d1	0.785143	0.840857
12294	Cacna2d3	0.018286	0.007429
12295	Cacnb1	4.225714	1.517429
12296	Cacnb2	1.398286	1.976000
12297	Cacnb3	9.331143	26.562571
12298	Cacnb4	0.004286	0.031143
12299	Cacng1	0.040571	0.018286
12300	Cacng2	0.061714	0.012000
12301	Cacybp	214.280286	223.789429
12304	Pdia4	236.349714	286.519143
12305	Ddr1	17.000286	15.815714
12306	Anxa2	81.237429	146.454000
12307	Calb1	0.075714	0.038571
12308	Calb2	3.525429	0.070857
12309	S100g	0	0
12310	Calca	10.207429	27.849143
12311	Calcr	0.039429	1.099429
12313	Calm1	208.884857	370.134857
12314	Calm2	35.559429	97.657714
12315	Calm3	291.507143	380.809714
12316	Aspm	3.028000	1.391714
12317	Calr	1688.508286	2106.767714
12319	Car8	0.154286	0.116857
12321	Calu	31.131714	48.704000
12322	Camk2a	1.189714	0.148286
12323	Camk2b	9.974571	1.414857
12325	Camk2g	6.058571	13.974857
12326	Camk4	0.062857	0.349143
12328	Caml	11.768857	23.486000
12330	Canx	87.875143	77.744571
12331	Cap1	57.577143	80.480571
12332	Capg	73.114857	45.069714
12333	Capn1	17.668857	8.590000
12334	Capn2	14.013429	37.582857
12335	Capn3	0.639429	0.008857
12336	Capns1	313.818857	308.199143
12337	Capn5	9.594286	12.181143
12338	Capn6	0.714571	230.688000
12339	Capn7	12.456286	15.823143
12340	Capza1	42.864286	29.083714
12343	Capza2	231.628000	222.755429
12344	Capza3	0.023143	0
12345	Capzb	328.195429	382.453714
12346	Car1	0.065714	0.133143
12348	Car11	1.305429	1.384571
12349	Car2	159.512857	298.833429
12350	Car3	0.821429	3.553143
12351	Car4	9.297143	422.596000
12352	Car5a	0.025714	0.042000
12353	Car6	0.969143	0.048571
12354	Car7	0.031714	0.473429
12355	Nr1i3	0.028000	0.041714
12359	Cat	22.441429	67.346286
12361	Cask	9.400571	15.635429
12362	Casp1	0.004857	0
12363	Casp4	0.012571	0.011429
12364	Casp12	0.259143	0.012571
12365	Casp14	0	0.021429
12366	Casp2	10.242857	20.781714
12367	Casp3	60.164286	150.535714
12368	Casp6	26.509714	51.248286
12369	Casp7	0.250571	0.403429
12370	Casp8	7.768000	9.783143
12371	Casp9	6.890000	13.408857
12372	Casq1	3.081429	0.517714
12373	Casq2	0.626286	0.579714
12374	Casr	0.044857	0.361429
12380	Cast	28.847714	33.727429
12385	Ctnna1	20.689429	21.065429
12386	Ctnna2	0.060571	0.297143
12387	Ctnnb1	322.149429	611.732571
12388	Ctnnd1	63.025143	130.009429
12389	Cav1	6.645143	0.040857
12390	Cav2	0.448286	0.069143
12391	Cav3	0	0
12393	Runx2	0.067143	0.012286
12394	Runx1	0.375143	1.154000
12395	Runx1t1	0.063429	0.051429
12396	Cbfa2t2	26.940286	12.908000
12398	Cbfa2t3h	0.005714	0.327429
12399	Runx3	0.073143	0.202857
12400	Cbfb	6.498857	11.094286
12401	Serpina6	0.024571	0.014000
12402	Cbl	5.952286	5.780286
12404	Cbln1	3.083143	11.684286
12405	Cbln2	0.038571	0.038286
12406	Serpinh1	63.859714	116.138286
12408	Cbr1	68.714571	108.702286
12409	Cbr2	0	0
12411	Cbs	5.153143	2.170571
12412	Cbx1	546.648571	304.000571
12416	Cbx2	1.264857	12.664571
12417	Cbx3	7.880286	16.321143
12418	Cbx4	0.065714	0.927143
12419	Cbx5	202.991429	253.214000
12421	Rb1cc1	13.178857	11.505714
12424	Cck	0	0.087429
12425	Cckar	0.030000	0.056000
12426	Cckbr	0.038000	0.013714
12427	Ccna1	1.215714	0.338000
12428	Ccna2	272.043143	437.446286
12442	Ccnb2	321.630571	420.424000
12443	Ccnd1	40.622286	73.678857
12444	Ccnd2	0.397143	2.484000
12445	Ccnd3	69.481143	66.825143
12447	Ccne1	59.934000	30.306571
12448	Ccne2	27.216857	48.466857
12449	Ccnf	89.866857	104.075714
12450	Ccng1	489.901714	331.589429
12452	Ccng2	11.028286	28.593714
12453	Ccni	63.405429	171.271429
12454	Ccnk	24.463143	57.424000
12455	Ccnt1	70.604286	49.544286
12457	Ccrn4l	16.308000	6.080857
12458	Ccr6	0	0.003714
12460	Ccs	8.634000	16.096571
12461	Cct2	802.125143	983.148857
12462	Cct3	633.778000	708.311429
12464	Cct4	1343.779714	1036.994571
12465	Cct5	1261.765143	1497.547714
12466	Cct6a	1327.840286	1538.837714
12467	Cct6b	0.249429	0.192000
12468	Cct7	152.856000	126.838571
12469	Cct8	702.098286	902.097143
12475	Cd14	0.035143	0.060857
12476	Cd151	185.828000	233.720857
12477	Ctla4	0	0
12478	Cd19	0.003143	0.010571
12479	Cd1d1	1.496286	0.158857
12480	Cd1d2	0.024286	0.063714
12481	Cd2	0.269714	0.486000
12482	Ms4a1	0.033429	0.487143
12483	Cd22	0.034000	0.054857
12484	Cd24a	91.874857	592.210286
12487	Cd28	0.001714	0.009143
12488	Cd2ap	21.800000	11.762571
12489	Cd33	0.195143	0.596286
12490	Cd34	1.735143	0.516571
12491	Cd36	0.116000	0.104286
12492	Scarb2	5.706571	3.978571
12493	Cd37	0.715143	0.055143
12494	Cd38	3.360000	1.102571
12495	Entpd1	0.057429	0.732286
12496	Entpd2	0.019429	0
12497	Entpd6	8.922857	20.698286
12499	Entpd5	0.190000	0.138000
12500	Cd3d	0.074857	0
12501	Cd3e	0.032857	0
12502	Cd3g	0.048000	0.058286
12503	Cd247	4.666286	4.222571
12504	Cd4	0.004857	0.020857
12505	Cd44	2.715429	10.308286
12506	Cd48	0.021429	0
12507	Cd5	0.011714	0.026857
12508	Cd53	0.020857	0
12509	Cd59a	9.728571	33.390857
12511	Cd6	0.933429	0.022286
12512	Cd63	43.584857	176.611143
12514	Cd68	17.776857	13.424286
12515	Cd69	0.012857	0
12516	Cd7	0.130857	0.335143
12517	Cd72	0.428857	1.016571
12518	Cd79a	0.222571	0
12519	Cd80	0.981143	1.079714
12520	Cd81	190.105429	250.840286
12521	Cd82	0.301429	0.590571
12522	Cd83	0.061429	0.090000
12523	Cd84	0	0
12524	Cd86	0	0
12525	Cd8a	0.017429	0.171143
12526	Cd8b1	0.224571	0.261429
12527	Cd9	129.043714	67.296571
12530	Cdc25a	23.663143	24.659714
12531	Cdc25b	0.770857	0.562000
12532	Cdc25c	19.109429	30.178857
12534	Cdc2a	202.693429	364.584857
12537	Cdc2l1	76.366857	34.913143
12539	Cdc37	82.914000	125.407143
12540	Cdc42	299.326000	411.077143
12544	Cdc45l	1.889714	7.397714
12545	Cdc7	25.851143	41.556571
12549	Cdgap	0.069714	0.036286
12550	Cdh1	54.546000	12.141143
12552	Cdh11	4.486857	111.676000
12554	Cdh13	0.756000	1.795143
12555	Cdh15	0.023714	0.002286
12556	Cdh16	0.020286	0.005429
12557	Cdh17	0.017714	0.047429
12558	Cdh2	7.271429	100.846000
12560	Cdh3	16.296857	7.762286
12561	Cdh4	0.069429	3.944571
12562	Cdh5	0.042857	3.016286
12563	Cdh6	0.019429	0.989429
12564	Cdh8	0.018857	0.236286
12565	Cdh9	0.061714	0.047714
12566	Cdk2	21.298000	38.451429
12567	Cdk4	305.363429	783.984857
12568	Cdk5	23.306000	34.867429
12569	Cdk5r1	0.062857	0.134000
12570	Cdk5r2	0.026000	0.046857
12571	Cdk6	15.426571	6.309429
12572	Cdk7	52.027714	83.052571
12575	Cdkn1a	75.518000	60.167429
12576	Cdkn1b	4.900000	22.131429
12577	Cdkn1c	55.412857	129.992286
12578	Cdkn2a	13.315429	0.907143
12579	Cdkn2b	11.276857	0.722571
12580	Cdkn2c	0.142857	0.013714
12581	Cdkn2d	2.986857	4.111143
12583	Cdo1	3.628000	1.567143
12585	Cdr2	30.038857	36.410571
12587	Mia1	0.839714	0.083429
12589	Ift81	6.018857	23.027143
12590	Cdx1	2.135714	0.103429
12591	Cdx2	0.504286	10.916857
12592	Cdx4	0.838857	2.807429
12593	Cdyl	8.250000	7.839429
12606	Cebpa	0.137714	0.008286
12607	Cebpz	53.855429	47.242571
12608	Cebpb	0.070000	0.321429
12609	Cebpd	3.541714	4.357429
12611	Cebpg	0.877143	1.363714
12613	Cel	0.110857	0
12614	Celsr1	0.603429	0.650000
12615	Cenpa	77.781429	164.810857
12616	Cenpb	10.782857	18.492286
12617	Cenpc1	36.554857	54.339714
12622	Cer1	0.101429	69.082857
12623	Ces1	0.019143	0.027143
12626	Cetn3	810.991714	1286.020857
12627	Cfc1	0.054286	57.995429
12628	Cfh	0.008286	0.004286
12630	Cfi	0	0.004857
12631	Cfl1	127.259143	183.316000
12632	Cfl2	53.650857	61.323714
12633	Cflar	1.597429	1.459143
12638	Cftr	0.007143	0.042571
12640	Cga	0	0
12642	Ch25h	0	0
12643	Chad	0.048857	0.123714
12647	Chat	0	0.016857
12648	Chd1	54.526857	44.204857
12649	Chek1	51.677429	63.863143
12651	Chkb	14.294857	24.317714
12652	Chga	2.510571	3.352571
12653	Chgb	0.233429	0.212571
12654	Chi3l1	0.043143	0.123714
12655	Chi3l3	0	0
12659	Ovgp1	1.475429	0.293143
12660	Chka	6.214286	5.771429
12661	Chl1	0.008857	0.008857
12662	Chm	23.616857	22.584571
12663	Chml	2.241714	3.025429
12667	Chrd	0.248286	1.216857
12669	Chrm1	0.020286	0.130286
12671	Chrm3	0.024286	0.088571
12672	Chrm4	1.122571	0.456571
12675	Chuk	19.992571	24.005143
12677	Chx10	0.056857	0.032857
12683	Cidea	0.674857	0.019714
12684	Cideb	1.036857	0.754286
12686	Elovl3	0.020000	0.006286
12695	Inadl	1.213714	5.693143
12696	Cirbp	23.800857	27.819143
12700	Cish	1.064857	1.057143
12702	Socs3	18.860571	1.542571
12703	Socs1	0.379429	0.988857
12704	Cit	8.667429	7.512571
12705	Cited1	6.764286	25.710286
12709	Ckb	82.048286	14.117143
12715	Ckm	0.017429	0.004857
12716	Ckmt1	7.088571	5.911429
12721	Coro1a	2.979714	2.406000
12722	Clca1	0.009429	0
12723	Clcn1	0.260000	0.157714
12724	Clcn2	11.523714	3.976286
